,开奖日期,期号,中奖号码
96,2020-06-26,2020129,3 6  0
97,2020-06-25,2020128,8 6  8
98,2020-06-24,2020127,8 8  5
99,2020-06-23,2020126,9 1  5
100,2020-06-22,2020125,7 4  9
101,2020-06-21,2020124,1 8  5
102,2020-06-20,2020123,0 1  5
103,2020-06-19,2020122,3 8  4
104,2020-06-18,2020121,8 7  0
105,2020-06-17,2020120,1 0  9
106,2020-06-16,2020119,1 2  5
107,2020-06-15,2020118,2 9  7
108,2020-06-14,2020117,7 2  1
109,2020-06-13,2020116,0 0  8
110,2020-06-12,2020115,0 3  6
111,2020-06-11,2020114,7 3  7
112,2020-06-10,2020113,5 2  4
113,2020-06-09,2020112,5 0  3
114,2020-06-08,2020111,2 2  0
115,2020-06-07,2020110,4 5  0
116,2020-06-06,2020109,8 1  8
117,2020-06-05,2020108,1 5  5
118,2020-06-04,2020107,8 5  6
119,2020-06-03,2020106,9 6  4
120,2020-06-02,2020105,1 9  8
121,2020-06-01,2020104,3 9  7
122,2020-05-31,2020103,8 7  2
123,2020-05-30,2020102,7 8  6
124,2020-05-29,2020101,2 9  8
125,2020-05-28,2020100,6 6  8
126,2020-05-27,2020099,6 8  1
127,2020-05-26,2020098,2 9  2
128,2020-05-25,2020097,8 4  0
129,2020-05-24,2020096,6 6  6
130,2020-05-23,2020095,7 4  0
131,2020-05-22,2020094,9 1  1
132,2020-05-21,2020093,1 2  4
133,2020-05-20,2020092,4 9  7
134,2020-05-19,2020091,0 8  8
135,2020-05-18,2020090,5 7  5
136,2020-05-17,2020089,5 7  7
137,2020-05-16,2020088,7 4  6
138,2020-05-15,2020087,1 1  4
139,2020-05-14,2020086,5 1  6
140,2020-05-13,2020085,3 3  6
141,2020-05-12,2020084,6 1  2
142,2020-05-11,2020083,4 4  0
143,2020-05-10,2020082,1 9  1
144,2020-05-09,2020081,1 4  8
145,2020-05-08,2020080,6 6  2
146,2020-05-07,2020079,5 7  0
147,2020-05-06,2020078,5 9  7
148,2020-05-05,2020077,0 2  0
149,2020-05-04,2020076,0 8  2
150,2020-05-03,2020075,2 7  6
151,2020-05-02,2020074,0 7  9
152,2020-05-01,2020073,6 8  5
153,2020-04-30,2020072,9 2  1
154,2020-04-29,2020071,0 5  9
155,2020-04-28,2020070,8 3  5
156,2020-04-27,2020069,2 6  0
157,2020-04-26,2020068,1 5  3
158,2020-04-25,2020067,9 4  2
159,2020-04-24,2020066,2 1  9
160,2020-04-23,2020065,2 9  4
161,2020-04-22,2020064,8 5  3
162,2020-04-21,2020063,6 6  3
163,2020-04-20,2020062,9 0  2
164,2020-04-19,2020061,5 3  5
165,2020-04-18,2020060,8 2  8
166,2020-04-17,2020059,9 4  8
167,2020-04-16,2020058,9 0  2
168,2020-04-15,2020057,8 8  0
169,2020-04-14,2020056,4 6  2
170,2020-04-13,2020055,4 6  8
171,2020-04-12,2020054,9 7  8
172,2020-04-11,2020053,4 3  0
173,2020-04-10,2020052,5 0  3
174,2020-04-09,2020051,2 2  1
175,2020-04-08,2020050,3 1  4
176,2020-04-07,2020049,2 9  7
177,2020-04-06,2020048,9 9  7
178,2020-04-05,2020047,8 7  4
179,2020-04-04,2020046,8 2  2
180,2020-04-03,2020045,2 3  4
181,2020-04-02,2020044,2 2  7
182,2020-04-01,2020043,5 6  7
183,2020-03-31,2020042,0 3  4
184,2020-03-30,2020041,8 7  9
185,2020-03-29,2020040,9 0  0
186,2020-03-28,2020039,4 7  2
187,2020-03-27,2020038,3 9  2
188,2020-03-26,2020037,6 8  3
189,2020-03-25,2020036,7 4  0
190,2020-03-24,2020035,7 7  6
191,2020-03-23,2020034,5 3  1
192,2020-03-22,2020033,1 1  6
193,2020-03-21,2020032,7 9  4
194,2020-03-20,2020031,8 1  8
195,2020-03-19,2020030,0 3  7
196,2020-03-18,2020029,0 4  2
197,2020-03-17,2020028,2 6  5
198,2020-03-16,2020027,2 3  1
199,2020-03-15,2020026,8 8  5
200,2020-03-14,2020025,1 4  3
201,2020-03-13,2020024,8 2  7
202,2020-03-12,2020023,5 1  1
203,2020-03-11,2020022,4 8  5
204,2020-01-21,2020021,9 0  1
205,2020-01-20,2020020,2 9  6
206,2020-01-19,2020019,0 4  9
207,2020-01-18,2020018,6 2  3
208,2020-01-17,2020017,4 3  4
209,2020-01-16,2020016,2 5  1
210,2020-01-15,2020015,5 8  6
211,2020-01-14,2020014,1 3  7
212,2020-01-13,2020013,4 4  7
213,2020-01-12,2020012,7 0  5
214,2020-01-11,2020011,3 9  7
215,2020-01-10,2020010,3 8  9
216,2020-01-09,2020009,5 7  4
217,2020-01-08,2020008,6 0  2
218,2020-01-07,2020007,4 9  6
219,2020-01-06,2020006,2 9  6
220,2020-01-05,2020005,8 0  4
221,2020-01-04,2020004,8 0  7
222,2020-01-03,2020003,0 0  4
223,2020-01-02,2020002,3 3  7
224,2020-01-01,2020001,0 8  7
225,2019-12-31,2019351,8 5  2
226,2019-12-30,2019350,2 9  0
227,2019-12-29,2019349,8 7  8
228,2019-12-28,2019348,8 2  2
229,2019-12-27,2019347,3 4  8
230,2019-12-26,2019346,4 7  2
231,2019-12-25,2019345,5 1  1
232,2019-12-24,2019344,7 0  4
233,2019-12-23,2019343,5 3  8
234,2019-12-22,2019342,7 8  9
235,2019-12-21,2019341,8 0  2
236,2019-12-20,2019340,0 5  1
237,2019-12-19,2019339,6 0  2
238,2019-12-18,2019338,9 1  4
239,2019-12-17,2019337,9 5  9
240,2019-12-16,2019336,6 6  5
241,2019-12-15,2019335,6 7  7
242,2019-12-14,2019334,0 0  0
243,2019-12-13,2019333,5 3  6
244,2019-12-12,2019332,7 7  6
245,2019-12-11,2019331,8 8  3
246,2019-12-10,2019330,2 6  5
247,2019-12-09,2019329,0 4  7
248,2019-12-08,2019328,1 2  5
249,2019-12-07,2019327,2 4  2
250,2019-12-06,2019326,5 4  5
251,2019-12-05,2019325,7 9  8
252,2019-12-04,2019324,4 3  2
253,2019-12-03,2019323,1 7  0
254,2019-12-02,2019322,0 4  4
255,2019-12-01,2019321,8 5  3
256,2019-11-30,2019320,5 8  8
257,2019-11-29,2019319,3 3  3
258,2019-11-28,2019318,2 3  2
259,2019-11-27,2019317,5 4  8
260,2019-11-26,2019316,8 8  5
261,2019-11-25,2019315,9 8  3
262,2019-11-24,2019314,5 9  4
263,2019-11-23,2019313,0 4  8
264,2019-11-22,2019312,0 3  1
265,2019-11-21,2019311,2 4  8
266,2019-11-20,2019310,7 6  5
267,2019-11-19,2019309,3 4  1
268,2019-11-18,2019308,6 7  2
269,2019-11-17,2019307,0 3  6
270,2019-11-16,2019306,1 5  3
271,2019-11-15,2019305,4 3  9
272,2019-11-14,2019304,4 6  5
273,2019-11-13,2019303,9 0  9
274,2019-11-12,2019302,4 2  6
275,2019-11-11,2019301,1 0  9
276,2019-11-10,2019300,9 3  6
277,2019-11-09,2019299,3 2  8
278,2019-11-08,2019298,3 3  5
279,2019-11-07,2019297,9 5  6
280,2019-11-06,2019296,3 4  5
281,2019-11-05,2019295,8 7  7
282,2019-11-04,2019294,6 1  2
283,2019-11-03,2019293,6 6  3
284,2019-11-02,2019292,0 6  8
285,2019-11-01,2019291,8 8  2
286,2019-10-31,2019290,3 2  8
287,2019-10-30,2019289,3 6  2
288,2019-10-29,2019288,7 5  8
289,2019-10-28,2019287,7 1  5
290,2019-10-27,2019286,2 9  3
291,2019-10-26,2019285,0 5  9
292,2019-10-25,2019284,5 6  2
293,2019-10-24,2019283,4 4  4
294,2019-10-23,2019282,8 5  8
295,2019-10-22,2019281,9 8  0
296,2019-10-21,2019280,0 6  1
297,2019-10-20,2019279,2 6  6
298,2019-10-19,2019278,8 4  2
299,2019-10-18,2019277,0 4  6
300,2019-10-17,2019276,8 7  3
301,2019-10-16,2019275,4 9  7
302,2019-10-15,2019274,4 9  3
303,2019-10-14,2019273,1 3  4
304,2019-10-13,2019272,0 0  7
305,2019-10-12,2019271,6 9  5
306,2019-10-11,2019270,4 7  8
307,2019-10-10,2019269,4 1  7
308,2019-10-09,2019268,3 7  3
309,2019-10-08,2019267,8 9  8
310,2019-09-30,2019266,9 8  5
311,2019-09-29,2019265,9 9  9
312,2019-09-28,2019264,9 8  7
313,2019-09-27,2019263,9 4  9
314,2019-09-26,2019262,1 0  3
315,2019-09-25,2019261,5 9  1
316,2019-09-24,2019260,9 9  7
317,2019-09-23,2019259,9 8  9
318,2019-09-22,2019258,1 0  3
319,2019-09-21,2019257,0 1  0
320,2019-09-20,2019256,0 1  8
321,2019-09-19,2019255,2 6  3
322,2019-09-18,2019254,5 7  5
323,2019-09-17,2019253,2 8  1
324,2019-09-16,2019252,8 3  1
325,2019-09-15,2019251,0 5  0
326,2019-09-14,2019250,5 7  5
327,2019-09-13,2019249,7 1  9
328,2019-09-12,2019248,2 6  2
329,2019-09-11,2019247,6 7  0
330,2019-09-10,2019246,6 1  5
331,2019-09-09,2019245,8 1  2
332,2019-09-08,2019244,5 7  5
333,2019-09-07,2019243,6 8  2
334,2019-09-06,2019242,6 9  1
335,2019-09-05,2019241,6 0  8
336,2019-09-04,2019240,6 6  4
337,2019-09-03,2019239,1 3  8
338,2019-09-02,2019238,2 1  7
339,2019-09-01,2019237,9 5  9
340,2019-08-31,2019236,2 1  9
341,2019-08-30,2019235,7 7  0
342,2019-08-29,2019234,3 4  0
343,2019-08-28,2019233,6 1  0
344,2019-08-27,2019232,7 8  9
345,2019-08-26,2019231,1 1  0
346,2019-08-25,2019230,8 8  7
347,2019-08-24,2019229,8 4  5
348,2019-08-23,2019228,0 5  4
349,2019-08-22,2019227,2 6  5
350,2019-08-21,2019226,2 5  2
351,2019-08-20,2019225,6 0  1
352,2019-08-19,2019224,0 4  3
353,2019-08-18,2019223,4 0  5
354,2019-08-17,2019222,1 5  5
355,2019-08-16,2019221,4 8  4
356,2019-08-15,2019220,0 1  0
357,2019-08-14,2019219,4 7  5
358,2019-08-13,2019218,5 3  2
359,2019-08-12,2019217,3 6  1
360,2019-07-22,2019196,8 5  3
361,2019-07-21,2019195,7 3  4
362,2019-07-20,2019194,5 5  0
363,2019-07-19,2019193,9 4  3
364,2019-07-18,2019192,7 4  6
365,2019-07-17,2019191,2 8  7
366,2019-07-16,2019190,4 6  4
367,2019-07-15,2019189,3 1  7
368,2019-07-14,2019188,4 4  6
369,2019-07-13,2019187,1 1  2
370,2019-07-12,2019186,1 5  7
371,2019-07-11,2019185,1 9  4
372,2019-07-10,2019184,0 6  0
373,2019-07-09,2019183,7 2  9
374,2019-07-08,2019182,3 5  1
375,2019-07-07,2019181,1 6  8
376,2019-07-06,2019180,9 2  6
377,2019-07-05,2019179,4 0  2
378,2019-07-04,2019178,7 9  6
379,2019-07-03,2019177,0 6  1
380,2019-07-02,2019176,5 0  1
381,2019-07-01,2019175,4 6  4
382,2019-06-30,2019174,8 4  8
383,2019-06-29,2019173,8 4  6
384,2019-06-28,2019172,4 1  6
385,2019-06-27,2019171,6 6  1
386,2019-06-26,2019170,5 7  8
387,2019-06-25,2019169,0 6  0
388,2019-06-24,2019168,0 6  1
389,2019-06-23,2019167,8 1  3
390,2019-06-22,2019166,5 3  1
391,2019-06-21,2019165,8 8  3
392,2019-06-20,2019164,9 5  1
393,2019-06-19,2019163,8 9  4
394,2019-06-18,2019162,0 3  3
395,2019-06-17,2019161,9 7  2
396,2019-06-16,2019160,1 3  5
397,2019-06-15,2019159,1 7  0
398,2019-06-14,2019158,7 0  8
399,2019-06-13,2019157,6 2  6
400,2019-06-12,2019156,8 7  9
401,2019-06-11,2019155,0 5  0
402,2019-06-10,2019154,6 3  2
403,2019-06-09,2019153,3 2  6
404,2019-06-08,2019152,0 5  1
405,2019-06-07,2019151,3 4  7
406,2019-06-06,2019150,2 5  8
407,2019-06-05,2019149,3 5  0
408,2019-06-04,2019148,3 6  2
409,2019-06-03,2019147,4 7  0
410,2019-06-02,2019146,0 1  3
411,2019-06-01,2019145,3 1  5
412,2019-05-31,2019144,3 8  8
413,2019-05-30,2019143,4 7  1
414,2019-05-29,2019142,7 9  2
415,2019-05-28,2019141,3 1  5
416,2019-05-27,2019140,2 7  6
417,2019-05-26,2019139,8 4  9
418,2019-05-25,2019138,3 3  1
419,2019-05-24,2019137,3 4  7
420,2019-05-23,2019136,6 7  0
421,2019-05-22,2019135,7 8  9
422,2019-05-21,2019134,3 9  4
423,2019-05-20,2019133,2 1  9
424,2019-05-19,2019132,7 8  7
425,2019-05-18,2019131,0 3  1
426,2019-05-17,2019130,2 9  8
427,2019-05-16,2019129,5 0  4
428,2019-05-15,2019128,9 8  0
429,2019-05-14,2019127,7 5  8
430,2019-05-13,2019126,4 7  0
431,2019-05-12,2019125,0 8  1
432,2019-05-11,2019124,2 1  1
433,2019-05-10,2019123,1 5  7
434,2019-05-09,2019122,8 6  5
435,2019-05-08,2019121,6 0  8
436,2019-05-07,2019120,9 0  0
437,2019-05-06,2019119,2 4  9
438,2019-05-05,2019118,4 1  8
439,2019-05-04,2019117,2 9  6
440,2019-04-13,2019096,0 6  6
441,2019-04-12,2019095,9 3  5
442,2019-04-11,2019094,8 9  1
443,2019-04-10,2019093,2 5  8
444,2019-04-09,2019092,6 3  0
445,2019-04-08,2019091,5 2  6
446,2019-04-07,2019090,7 8  9
447,2019-04-06,2019089,4 5  0
448,2019-04-05,2019088,9 3  6
449,2019-04-04,2019087,1 7  4
450,2019-04-03,2019086,2 8  3
451,2019-04-02,2019085,5 0  5
452,2019-04-01,2019084,9 7  8
453,2019-03-31,2019083,9 8  2
454,2019-03-30,2019082,8 7  1
455,2019-03-29,2019081,4 3  1
456,2019-03-28,2019080,3 4  1
457,2019-03-27,2019079,5 3  9
458,2019-03-26,2019078,0 4  6
459,2019-03-25,2019077,9 7  2
460,2019-03-04,2019056,6 3  9
461,2019-03-03,2019055,1 2  8
462,2019-03-02,2019054,8 4  9
463,2019-03-01,2019053,1 3  6
464,2019-02-28,2019052,5 2  7
465,2019-02-27,2019051,0 1  3
466,2019-02-26,2019050,9 4  8
467,2019-02-25,2019049,8 0  1
468,2019-02-24,2019048,3 2  6
469,2019-02-23,2019047,9 2  3
470,2019-02-22,2019046,1 4  5
471,2019-02-21,2019045,3 5  7
472,2019-02-20,2019044,0 2  0
473,2019-02-19,2019043,0 9  6
474,2019-02-18,2019042,5 7  9
475,2019-02-17,2019041,4 2  8
476,2019-02-16,2019040,7 5  4
477,2019-02-15,2019039,7 5  4
478,2019-02-14,2019038,9 8  8
479,2019-02-13,2019037,7 5  6
480,2019-02-12,2019036,4 3  4
481,2019-02-11,2019035,8 8  8
482,2019-02-03,2019034,6 6  7
483,2019-02-02,2019033,2 0  7
484,2019-02-01,2019032,1 6  1
485,2019-01-31,2019031,7 9  3
486,2019-01-30,2019030,2 8  0
487,2019-01-29,2019029,5 4  6
488,2019-01-28,2019028,7 4  1
489,2019-01-27,2019027,3 0  1
490,2019-01-26,2019026,5 9  4
491,2019-01-25,2019025,2 3  7
492,2019-01-24,2019024,6 3  7
493,2019-01-23,2019023,7 6  7
494,2019-01-22,2019022,1 7  3
495,2019-01-21,2019021,0 8  8
496,2019-01-20,2019020,4 2  8
497,2019-01-19,2019019,7 9  7
498,2019-01-18,2019018,1 4  2
499,2019-01-17,2019017,5 5  9
500,2019-01-16,2019016,6 8  3
501,2019-01-15,2019015,2 3  0
502,2019-01-14,2019014,7 9  4
503,2019-01-13,2019013,9 1  0
504,2019-01-12,2019012,1 3  1
505,2019-01-11,2019011,2 6  6
506,2019-01-10,2019010,5 3  8
507,2019-01-09,2019009,7 4  6
508,2019-01-08,2019008,5 8  7
509,2019-01-07,2019007,3 7  0
510,2019-01-06,2019006,7 5  5
511,2019-01-05,2019005,5 0  1
512,2019-01-04,2019004,1 1  8
513,2019-01-03,2019003,4 3  5
514,2019-01-02,2019002,2 7  2
515,2019-01-01,2019001,6 4  4
516,2018-12-31,2018358,3 2  9
517,2018-12-30,2018357,1 4  7
518,2018-12-29,2018356,6 1  1
519,2018-12-28,2018355,7 8  7
520,2018-12-27,2018354,6 0  9
521,2018-12-26,2018353,5 8  9
522,2018-12-25,2018352,5 4  2
523,2018-12-24,2018351,1 5  6
524,2018-12-23,2018350,3 2  2
525,2018-12-22,2018349,8 2  1
526,2018-12-21,2018348,4 6  9
527,2018-12-20,2018347,5 1  3
528,2018-12-19,2018346,1 8  6
529,2018-12-18,2018345,6 9  2
530,2018-12-17,2018344,3 9  7
531,2018-12-16,2018343,0 5  2
532,2018-12-15,2018342,4 9  7
533,2018-12-14,2018341,7 9  9
534,2018-12-13,2018340,7 9  8
535,2018-12-12,2018339,7 7  4
536,2018-12-11,2018338,1 7  8
537,2018-12-10,2018337,7 3  1
538,2018-12-09,2018336,9 0  6
539,2018-12-08,2018335,4 0  7
540,2018-12-07,2018334,3 4  9
541,2018-12-06,2018333,2 8  8
542,2018-12-05,2018332,3 8  8
543,2018-12-04,2018331,1 0  8
544,2018-12-03,2018330,1 7  1
545,2018-12-02,2018329,1 6  5
546,2018-12-01,2018328,4 8  1
547,2018-11-30,2018327,4 3  2
548,2018-11-29,2018326,4 5  4
549,2018-11-28,2018325,0 6  1
550,2018-11-27,2018324,3 1  9
551,2018-11-26,2018323,9 2  4
552,2018-11-25,2018322,1 3  0
553,2018-11-24,2018321,8 3  7
554,2018-11-23,2018320,5 6  5
555,2018-11-22,2018319,2 1  6
556,2018-11-21,2018318,8 7  0
557,2018-11-20,2018317,2 0  3
558,2018-11-19,2018316,7 0  8
559,2018-11-18,2018315,0 8  8
560,2018-11-17,2018314,7 8  7
561,2018-11-16,2018313,2 8  9
562,2018-11-15,2018312,2 5  6
563,2018-11-14,2018311,0 8  1
564,2018-11-13,2018310,3 4  7
565,2018-11-12,2018309,3 8  0
566,2018-11-11,2018308,6 8  2
567,2018-11-10,2018307,8 3  7
568,2018-11-09,2018306,3 1  6
569,2018-11-08,2018305,8 4  5
570,2018-11-07,2018304,3 4  0
571,2018-11-06,2018303,8 1  0
572,2018-11-05,2018302,8 8  3
573,2018-11-04,2018301,9 2  6
574,2018-11-03,2018300,7 7  7
575,2018-11-02,2018299,3 3  1
576,2018-11-01,2018298,1 1  1
577,2018-10-31,2018297,2 8  9
578,2018-10-30,2018296,8 8  1
579,2018-10-29,2018295,5 1  3
580,2018-10-28,2018294,5 3  7
581,2018-10-27,2018293,8 9  5
582,2018-10-26,2018292,9 2  2
583,2018-10-25,2018291,9 3  5
584,2018-10-24,2018290,0 3  6
585,2018-10-23,2018289,9 5  4
586,2018-10-22,2018288,3 4  4
587,2018-10-21,2018287,3 8  7
588,2018-10-20,2018286,6 9  1
589,2018-10-19,2018285,9 8  2
590,2018-10-18,2018284,6 3  4
591,2018-10-17,2018283,5 5  8
592,2018-10-16,2018282,6 1  7
593,2018-10-15,2018281,9 4  7
594,2018-10-14,2018280,6 6  9
595,2018-10-13,2018279,3 7  5
596,2018-10-12,2018278,5 6  3
597,2018-10-11,2018277,7 0  9
598,2018-10-10,2018276,2 6  1
599,2018-10-09,2018275,2 6  4
600,2018-10-08,2018274,5 5  7
601,2018-10-07,2018273,4 5  7
602,2018-10-06,2018272,0 8  5
603,2018-10-05,2018271,5 3  6
604,2018-10-04,2018270,3 4  9
605,2018-10-03,2018269,6 5  9
606,2018-10-02,2018268,7 2  8
607,2018-10-01,2018267,0 0  1
608,2018-09-30,2018266,6 2  1
609,2018-09-29,2018265,6 4  8
610,2018-09-28,2018264,0 0  4
611,2018-09-27,2018263,8 1  3
612,2018-09-26,2018262,5 3  2
613,2018-09-25,2018261,8 0  9
614,2018-09-24,2018260,4 7  4
615,2018-09-23,2018259,0 1  0
616,2018-09-22,2018258,3 0  0
617,2018-09-21,2018257,0 9  4
618,2018-09-20,2018256,0 8  7
619,2018-09-19,2018255,2 8  9
620,2018-09-18,2018254,6 5  7
621,2018-09-17,2018253,0 9  8
622,2018-09-16,2018252,0 6  7
623,2018-09-15,2018251,9 8  3
624,2018-09-14,2018250,5 5  1
625,2018-09-13,2018249,6 3  6
626,2018-09-12,2018248,2 5  1
627,2018-09-11,2018247,6 2  6
628,2018-09-10,2018246,6 0  3
629,2018-09-09,2018245,3 5  1
630,2018-09-08,2018244,3 6  4
631,2018-09-07,2018243,6 3  9
632,2018-09-06,2018242,6 2  3
633,2018-09-05,2018241,2 1  5
634,2018-09-04,2018240,5 0  6
635,2018-09-03,2018239,7 4  9
636,2018-09-02,2018238,7 2  0
637,2018-09-01,2018237,6 3  1
638,2018-08-31,2018236,6 4  2
639,2018-08-30,2018235,8 2  8
640,2018-08-29,2018234,9 5  3
641,2018-08-28,2018233,5 7  9
642,2018-08-27,2018232,7 1  5
643,2018-08-26,2018231,6 2  9
644,2018-08-25,2018230,7 5  0
645,2018-08-24,2018229,5 5  6
646,2018-08-23,2018228,4 7  0
647,2018-08-22,2018227,9 7  7
648,2018-08-21,2018226,9 6  7
649,2018-08-20,2018225,1 6  0
650,2018-08-19,2018224,0 3  0
651,2018-08-18,2018223,4 9  9
652,2018-08-17,2018222,1 7  3
653,2018-08-16,2018221,0 1  4
654,2018-08-15,2018220,6 4  8
655,2018-08-14,2018219,3 9  1
656,2018-08-13,2018218,6 9  7
657,2018-08-12,2018217,5 8  7
658,2018-08-11,2018216,8 2  1
659,2018-08-10,2018215,4 2  5
660,2018-08-09,2018214,8 8  1
661,2018-08-08,2018213,2 0  3
662,2018-08-07,2018212,5 7  8
663,2018-08-06,2018211,6 2  8
664,2018-08-05,2018210,8 2  9
665,2018-08-04,2018209,9 5  0
666,2018-08-03,2018208,4 5  2
667,2018-08-02,2018207,7 5  6
668,2018-08-01,2018206,6 2  6
669,2018-07-31,2018205,4 1  8
670,2018-07-30,2018204,0 4  2
671,2018-07-29,2018203,0 4  5
672,2018-07-28,2018202,6 1  4
673,2018-07-27,2018201,6 1  5
674,2018-07-26,2018200,3 5  0
675,2018-07-25,2018199,5 1  0
676,2018-07-24,2018198,3 7  9
677,2018-07-23,2018197,1 5  0
678,2018-07-22,2018196,0 0  5
679,2018-07-21,2018195,7 3  6
680,2018-07-20,2018194,3 7  5
681,2018-07-19,2018193,0 6  1
682,2018-07-18,2018192,8 9  3
683,2018-07-17,2018191,5 0  3
684,2018-07-16,2018190,5 5  6
685,2018-07-15,2018189,7 6  0
686,2018-07-14,2018188,0 4  8
687,2018-07-13,2018187,8 0  7
688,2018-07-12,2018186,1 4  1
689,2018-07-11,2018185,5 7  0
690,2018-07-10,2018184,4 7  3
691,2018-07-09,2018183,3 5  9
692,2018-07-08,2018182,3 2  9
693,2018-07-07,2018181,4 9  8
694,2018-07-06,2018180,7 6  1
695,2018-07-05,2018179,7 2  4
696,2018-07-04,2018178,3 3  6
697,2018-07-03,2018177,1 0  2
698,2018-07-02,2018176,2 3  5
699,2018-07-01,2018175,3 3  8
700,2018-06-30,2018174,8 8  6
701,2018-06-29,2018173,4 6  3
702,2018-06-28,2018172,5 1  3
703,2018-06-27,2018171,8 1  9
704,2018-06-26,2018170,1 1  7
705,2018-06-25,2018169,5 3  0
706,2018-06-24,2018168,1 7  4
707,2018-06-23,2018167,4 8  9
708,2018-06-22,2018166,9 4  1
709,2018-06-21,2018165,9 0  2
710,2018-06-20,2018164,1 5  7
711,2018-06-19,2018163,8 6  9
712,2018-06-18,2018162,1 3  7
713,2018-06-17,2018161,7 9  4
714,2018-06-16,2018160,4 7  7
715,2018-06-15,2018159,3 4  0
716,2018-06-14,2018158,3 6  3
717,2018-06-13,2018157,0 2  2
718,2018-06-12,2018156,3 2  4
719,2018-06-11,2018155,2 8  9
720,2018-06-10,2018154,6 6  9
721,2018-06-09,2018153,3 2  9
722,2018-06-08,2018152,2 5  8
723,2018-06-07,2018151,5 1  4
724,2018-06-06,2018150,3 3  5
725,2018-06-05,2018149,9 2  3
726,2018-06-04,2018148,0 8  7
727,2018-06-03,2018147,6 3  6
728,2018-06-02,2018146,5 6  9
729,2018-06-01,2018145,3 8  6
730,2018-05-31,2018144,0 9  1
731,2018-05-30,2018143,4 5  4
732,2018-05-29,2018142,9 3  7
733,2018-05-28,2018141,5 3  6
